iter	Passed	Remaining
0	1925	1923160
1	3686	1839678
2	5157	1713866
3	6521	1623885
4	7738	1540047
5	9013	1493173
6	10194	1446150
7	11532	1429995
8	12707	1399241
9	13834	1369651
10	14968	1345807
11	16099	1325555
12	17498	1328526
13	18650	1313514
14	19799	1300148
15	20961	1289138
16	22127	1279502
17	23310	1271703
18	24463	1263104
19	25683	1258489
20	26775	1248225
21	27887	1239711
22	28990	1231486
23	30140	1225720
24	31371	1223495
25	32488	1217056
26	33635	1212135
27	34747	1206224
28	35888	1201631
29	37009	1196645
30	38112	1191320
31	39261	1187674
32	40409	1184124
33	41494	1178932
34	42659	1176172
35	43794	1172718
36	44949	1169908
37	46171	1168877
38	47361	1167044
39	48541	1165002
40	49682	1162078
41	50807	1158884
42	51930	1155746
43	53014	1151863
44	54166	1149535
45	55288	1146631
46	56412	1143847
47	57503	1140481
48	58609	1137502
49	59724	1134757
50	60876	1132780
51	61984	1130029
52	63109	1127633
53	64188	1124488
54	65326	1122426
55	66432	1119868
56	67537	1117330
57	68704	1115862
58	69929	1115308
59	71116	1114151
60	72468	1115542
61	73756	1115856
62	74960	1114891
63	76302	1115921
64	77684	1117467
65	78847	1115818
66	80045	1114667
67	81165	1112446
68	82344	1111052
69	83685	1111827
70	85538	1119230
71	86810	1118886
72	88181	1119787
73	89333	1117870
74	90477	1115883
75	91633	1114065
76	92792	1112308
77	93928	1110283
78	95062	1108262
79	96249	1106873
80	97480	1105981
81	98748	1105500
82	100275	1107861
83	101526	1107124
84	102860	1107264
85	104166	1107076
86	105571	1107890
87	106778	1106615
88	108142	1106942
89	109371	1105864
90	110595	1104738
91	111734	1102766
92	112915	1101231
93	114223	1100921
94	115474	1100041
95	116725	1099164
96	117922	1097771
97	119056	1095804
98	120306	1094913
99	121510	1093593
100	123788	1101836
101	125587	1105663
102	127295	1108583
103	129118	1112406
104	130774	1114697
105	132393	1116603
106	133723	1116028
107	135112	1115928
108	136400	1114979
109	137640	1113637
110	139067	1113793
111	140611	1114851
112	143177	1123881
113	145723	1132555
114	147423	1134522
115	150125	1144062
116	152723	1152607
117	157077	1174090
118	160340	1187055
119	163400	1198267
120	168096	1221129
121	173670	1249860
122	177959	1268862
123	182309	1287926
124	185505	1298536
125	188724	1309090
126	192281	1321746
127	196458	1338370
128	201796	1362514
129	205842	1377558
